,param,min,p25,med,mean,p75,max,std,filter
0,m1,-1.589472221655726,,,-1.125995219203184,,-0.679591686662625,0.285733393548029,g
1,m2,0.11164320083838639,0.16231723276140492,0.2061767498825841,0.2260538656278415,0.2685543786479536,0.38725112364288866,0.08482591661278903,g
2,m3,-0.18336873045696006,-0.140359477154118,-0.07301482604869611,-0.08999410929163386,-0.05292599615064227,-0.010196931203089187,0.05153720254599851,g
3,b2,-5.105448542734429,-3.904050154510529,-2.579679594197998,-3.0127835561618665,-1.9331006267355069,-1.6273640733475336,1.2258142047588938,g
4,a1,0.642475986238247,,,7.17941842043151,,9.798066566794084,2.9526793330990175,g
5,a2,10.158978625462886,13.5272170081792,14.062883582559,13.996867413334572,14.71730867893379,17.318488156693974,1.558662671445083,g
6,log_f,-3.746321771573907,-2.7015292524537733,-1.5985602769068117,-1.4810484455503858,-0.7464724865602532,1.3646858544145168,1.3276976125035955,g
7,m1,-1.653939950941373,-1.1157650722714014,-0.8619290418396317,-0.8870108527930568,-0.55253772900217,-0.11167597357530355,0.4263688441322234,r
8,m2,0.03136862745717825,0.11568347051452293,0.13760079389505414,0.17709240370438162,0.28281682795990304,0.34372578442715773,0.09452199717206101,r
9,m3,-0.14195601701361904,-0.11115250950689404,-0.08406964897294536,-0.08243211050127977,-0.05914182465048382,-0.011278763501649202,0.039642126752522544,r
10,b2,-4.573563210187304,-3.8975989632399015,-2.350597755074939,-2.596168172436715,-1.473953252937895,-0.7516561747845618,1.2112312485584142,r
11,a1,-0.021999907682174163,7.264506745137403,8.728791646478744,7.618967327698726,9.226942125269339,10.381561962697235,2.761990711431523,r
12,a2,10.57787541466923,13.407664352585794,13.82015292957411,14.135820325591844,15.613059512325332,17.224436255875176,1.6725636361398597,r
13,log_f,-3.5640059727129736,-3.083179850952707,-2.602093777619526,-2.3018820483458566,-1.8295548469018799,-0.33525839936747626,0.9946304213915912,r
14,a2g-a1g,0.4876751432016011,,,6.854865701563878,,13.28139822188337,3.5328845483023543,both
15,a2r-a1r,1.2651826939739266,4.164651316908895,6.143157607448391,6.5168529978931184,7.950018747300042,16.040234605118567,3.5116679753931503,both
16,a1g-a1r,-1.8069819258016917,,,-0.42448966967949026,,0.6644758939204212,0.7008686349685416,both
17,a2g-a2r,-2.5050904603243644,-0.9672939757784871,0.11955265559340589,-0.13895291225727527,0.5916719212128125,2.3188939420787875,1.2811519105726066,both
18,mag_a2g-a1g,0.1034906765534025,0.8387022909662066,1.294959243511527,1.4096798514367088,1.9720101683382785,2.8287766172552544,0.7913564896160736,both
19,mag_a2r-a1r,0.4418265797921555,0.6598014240015626,0.9872517472655874,1.0996788589649247,1.402314198482546,2.3265715313077373,0.5234228973232411,both
20,mag_a1g-a1r,-0.6760069436673173,-0.5262612177216557,-0.15751649339943063,-0.16445791403370327,0.006639356875516977,0.6207175672664118,0.40125793123242376,both
21,mag_a2g-a2r,0.021311586214455946,0.031194296249332176,0.0668641120660709,0.14554307843808084,0.23034111436786975,0.5636408383850506,0.14796440143748546,both
